"Area","Road","StartDate","EndDate","Notes"
"Morden","Wandle Road","2026-04-13","2026-04-24","Multi-way lights at junction with The Drive for junction improvement works"
"Morden","Wentworth Close","2026-04-30","2026-05-01","Road closure for carriageway resurfacing works"
"Raynes Park","Bushey Road","2026-07-27","2026-07-30","Road closure for carriageway resurfacing works"
"Raynes Park","Cannon Hill Lane","2026-03-30","2026-04-10","Multi-way temporary traffic signals outside 66 to 68 for connection works"
"Raynes Park","Cannon Hill Lane","2026-06-29","2026-07-10","Multi-way temporary traffic signals at junction with Whatley Avenue for connection works"
"Raynes Park","Haynt Walk","2026-04-13","2026-06-05","Multi-way lights for gas mains replacement works including 85 services"
"Raynes Park","Heath Drive","2026-05-02","2026-05-11","Multi-way lights outside 39 for gas mains replacement works"
"Raynes Park","Kenwyn Road","2026-01-29","2026-05-01","Road closure from junction of Pepys Road to junction of Lambton Road for pipe replacement works"
"Raynes Park","Kingston Road","2026-04-16","2026-04-17","Two-way lights outside 3 Merton Park Parade for manhole cover repairs"
"Raynes Park","Kingston Road","2026-06-02","2026-06-03","Lane closure at junction with Bushey Road for surveys of water assets for leak prevention"
"Raynes Park","Parkway","2026-06-02","2026-06-04","Road closure for carriageway resurfacing works"
"Raynes Park","West Barnes Lane","2026-04-16","2026-04-19","Two-way lights near Grayswood Gardens for exchange of water district meter"
"Raynes Park","West Barnes Lane","2026-05-09","2026-05-10","Road closure near Linkway for water district meter repairs"
"Raynes Park","B282 West Barnes Lane, New Malden Level Crossing","2026-04-29","2026-04-30","Road closure at West Barnes Crossing for inspections, access, or maintenance. Diversion via Claremont Avenue or West Barnes Lane and Burlington Road"
"Raynes Park","B282 West Barnes Lane, New Malden Level Crossing","2026-09-02","2026-09-04","Road closure at West Barnes Crossing for inspections, access, or maintenance"
"Raynes Park","B282 West Barnes Lane, New Malden Level Crossing","2026-09-13","2026-09-13","Road closure at West Barnes Crossing for inspections, access, or maintenance"
"Raynes Park","B282 West Barnes Lane, New Malden Level Crossing","2026-09-15","2026-09-18","Road closure at West Barnes Crossing for inspections, access, or maintenance"
"Raynes Park","B282 West Barnes Lane, West Barnes Level Crossing","2026-04-20","2026-04-24","Road closure at West Barnes Crossing for inspections, access, or maintenance. Diversion via Claremont Avenue, Burlington Road and West Barnes Lane"
"Raynes Park","B282 West Barnes Lane, West Barnes Level Crossing","2026-07-14","2026-07-17","Road closure at West Barnes Crossing for inspections, access, or maintenance"
"Raynes Park","Whatley Avenue","2026-06-15","2026-07-17","Road closure for gas mains replacement works including 39 services"
"Wimbledon","Camp Road","2026-04-27","2026-04-27","Road closure for installation of valves outside Cedar Park Gardens"
"Wimbledon","Copse Hill","2026-06-10","2026-06-12","Road closure from Barham Road to Almer Road for carriageway resurfacing works"
"Wimbledon","Copse Hill","2026-06-27","2026-08-31","Road closure from Lindisfarne Road to Chambers Park Hill for gas mains replacement works including 3 mains connections and 18 services"
"Wimbledon","Copse Hill","2026-06-20","2026-08-14","Road closure from Coombe Lane to Barham Road for gas mains replacement works including 3 mains connections and 23 services"
"Wimbledon","Hartfield Road","2026-04-27","2026-05-01","Lane closure from Hartfield Crescent to Wimbledon Bridge for gas connections"
"Wimbledon","Kingston Road","2026-05-23","2026-05-24","Road closure at junction with Hartfield Road for repairs to damaged covers in the carriageway"
"Wimbledon","Lambourne Avenue","2026-06-04","2026-06-04","Road closure for carriageway resurfacing works"
"Wimbledon","Leopold Road","2026-05-04","2026-06-15","Road closure outside numbers 10 to 12 for maintenance works to extra-high voltage power cables. Local diversion via Arthur Road and Strathearn Road"
"Wimbledon","Quicks Road","2026-05-18","2026-05-22","Road closure to enable surveying and lining works of the sewer between Merton Road and Hardy Road"
"Wimbledon","Ridgway","2026-04-09","2026-04-12","Multi-way lights outside 50 to enable disconnection of old water pipe"
"Wimbledon","South Park Road","2026-04-27","2026-05-05","Road closure outside 150b to enable a new customer connection"
"Wimbledon","The Broadway","2026-04-15","2026-04-17","Lane closure to enable valve replacement outside 75"
"Wimbledon","Wimbledon Hill Road, Wimbledon Bridge, St Georges Road and Alexandra Road","2026-05-18","2026-05-19","Multi-way lights to enable access to underground equipment"
"Wimbledon","Worple Road","2026-04-27","2026-05-22","Road closure between Lambton Road and Pepys Road to enable gas mains replacement"
"Wimbledon","Worple Road","2026-04-27","2026-04-28","Multi-way lights at junction with The Downs to enable access to underground equipment"
